ProductID,ProductType,ProductName,AcquisitionDate,CustomerID,CustomerName,TotalAccountBalance,TotalLiabilities,PreferredChannel,dob,city,gender,income,joinDate,maritalStatus
P003,Credit Card,,2/1/2025 23:48,C027,NaN,"17,126.00","12,717.00",Call Center,18/5/1980,Geelong,Female,"175,465.00",27/7/2020,Married
P005,Premium Account,Membership Premium,30/4/2025,C027,Customer 027,"122,091.00","407,034.00",Call Center,18/5/1980,Geelong,Female,"175,465.00",27/7/2020,Married
,Savings Account,Saver Basic,17/7/2025 8:58,C027,Customer 027,"129,361.00","69,576.00",Call Center,18/5/1980,Geelong,Female,"175,465.00",27/7/2020,Married
P002,-9999,Saver Basic,5/6/2025 22:49,C028,Customer 028,"61,903.00","171,861.00",undefined,17/9/1969,Hobart,Other,"41,030.00",28/1/2020,Married
P001,Term Deposit,Saver Premium,13/6/2025,NULL,Customer 028,"20,713.00","268,375.00",App,17/9/1969,Hobart,Other,"41,030.00",28/1/2020,Married
P004,Home Loan,Variable Home Loan,23/3/2025 7:26,C029,Customer 029,"8,877.00","252,544.00",Email,20/8/1969,999999999,Other,"175,882.00",4/12/2020,NaN
P005,Premium Account,Membership Premium,7/8/2025 3:04,C030,Customer 030,"22,041.00","109,230.00",Social,8/1/1995,Perth,Other,"158,535.00",9/4/2020,NULL
P003,Credit Card,Rewards Plus,19/2/2025,C030,Customer 030,"117,168.00","90,802.00",Social,8/1/1995,Perth,error,"158,535.00",9/4/2020,Single
P001,Term Deposit,Saver Premium,30/4/2025 4:26,C030,Customer 030,error,NULL,Social,8/1/1995,NULL,Other,"158,535.00",9/4/2020,Single
P001,Term Deposit,Saver Premium,24/5/2025 18:17,C031,Customer 031,"68,245.00","104,432.00",Call Center,17/10/1980,Gold Coast,Female,"173,210.00",17/10/2020,Widowed
P003,Credit Card,Rewards Plus,13/8/2025 7:11,C031,Customer 031,"40,192.00","147,510.00",Call Center,17/10/1980,NaN,-9999,NaN,17/10/2020,Widowed
NULL,undefined,Saver Basic,7/4/2025 10:04,C031,Customer 031,"64,474.00","265,984.00",Call Center,17/10/1980,Gold Coast,???,"173,210.00",17/10/2020,Widowed
P002,Savings Account,Saver Basic,26/8/2025 1:06,C032,Customer 032,"60,585.00","440,693.00",Social,17/12/1975,Darwin,Female,"75,948.00",18/5/2020,Widowed
P001,NaN,NULL,18/8/2025,C032,Customer 032,,undefined,NULL,17/12/1975,Darwin,Female,"75,948.00",18/5/2020,
P003,Credit Card,Rewards Plus,26/1/2025,C032,Customer 032,NULL,999999999,Social,17/12/1975,Darwin,Female,unknown,18/5/2020,Widowed
P003,Credit Card,Rewards Plus,20/9/2025,NULL,Customer 033,NaN,"55,459.00",App,22/2/1980,Newcastle,undefined,"80,487.00",14/4/2020,Divorced
P005,Premium Account,Membership Premium,20/1/2025 11:21,C034,Customer 034,"53,471.00","133,648.00",App,15/3/1976,Cairns,NULL,"82,675.00",24/4/2020,-9999
undefined,Credit Card,Rewards Plus,20/1/2025,C034,NULL,undefined,,App,15/3/1976,Cairns,Female,"82,675.00",24/4/2020,Married
999999999,Term Deposit,Saver Premium,6/1/2025,C034,Customer 034,"48,534.00",unknown,,15/3/1976,Cairns,Female,"82,675.00",24/4/2020,Married
P001,Term Deposit,Saver Premium,17/1/2025 15:35,C035,Customer 035,undefined,"53,156.00",Social,13/9/1987,Wollongong,Male,undefined,14/6/2020,Widowed
P002,Savings Account,Saver Basic,22/7/2025 21:35,C035,Customer 035,"139,984.00","47,790.00",Social,13/9/1987,Wollongong,Male,"135,932.00",14/6/2020,Widowed
P002,Savings Account,NULL,19/5/2025,C036,Customer 036,???,"499,745.00",Email,11/7/1961,unknown,NULL,"99,914.00",20/9/2020,Single
P004,999999999,Variable Home Loan,27/1/2025 9:47,C036,-9999,"93,633.00","217,097.00",Email,11/7/1961,Brisbane,Male,"99,914.00",20/9/2020,
P003,-9999,Rewards Plus,2/8/2025,???,Customer 036,"95,363.00","337,892.00",Email,11/7/1961,Brisbane,Male,???,20/9/2020,Single
P004,Home Loan,Variable Home Loan,27/7/2025 6:00,C037,Customer 037,"41,043.00",NULL,NaN,2/5/1976,Townsville,,"107,792.00",9/3/2020,Widowed
P001,Term Deposit,NaN,27/7/2025 18:56,C038,Customer 038,"42,610.00","68,144.00",Email,2/5/1965,NaN,Female,,6/12/2020,Divorced
P001,???,Saver Premium,14/3/2025,C039,Customer 039,"23,338.00","300,345.00",Call Center,3/4/1998,Sydney,error,"149,513.00",28/5/2020,Divorced
P003,Credit Card,NULL,28/6/2025 9:10,C040,Customer 040,"17,589.00",NaN,SMS,17/1/1968,Hobart,Female,NaN,8/12/2020,Divorced
P002,Savings Account,Saver Basic,16/7/2025,C040,NULL,"51,731.00","158,133.00",SMS,17/1/1968,Hobart,Female,"53,206.00",8/12/2020,Divorced
P001,,,6/3/2025 1:58,C040,Customer 040,NULL,"318,580.00",SMS,17/1/1968,Hobart,Female,"53,206.00",8/12/2020,Divorced
,Home Loan,Variable Home Loan,24/3/2025,C041,Customer 041,"106,033.00","322,295.00",Email,10/4/1993,Gold Coast,undefined,"44,761.00",17/8/2020,Single
,Term Deposit,Saver Premium,11/4/2025 15:11,C041,Customer 041,error,"209,581.00",Email,10/4/1993,Gold Coast,Female,"44,761.00",17/8/2020,Single
P003,Credit Card,,23/9/2025 5:24,C041,Customer 041,"39,181.00",NULL,Email,10/4/1993,Gold Coast,-9999,"44,761.00",17/8/2020,Single
P002,Savings Account,Saver Basic,20/1/2025 21:53,C042,Customer 042,"102,193.00","314,321.00",Social,17/12/1961,Canberra,Female,,7/9/2020,
P001,Term Deposit,Saver Premium,22/8/2025,C042,Customer 042,,"340,277.00",Social,17/12/1961,Canberra,Female,"67,861.00",7/9/2020,error
P003,Credit Card,Rewards Plus,4/8/2025 9:37,C042,,"102,029.00","345,423.00",Social,17/12/1961,Canberra,Female,"67,861.00",7/9/2020,Widowed
P004,???,Variable Home Loan,2/4/2025,999999999,Customer 043,"128,319.00","243,937.00",undefined,17/7/1994,NULL,Female,error,23/5/2020,-9999
P005,Premium Account,Membership Premium,1/5/2025,C043,Customer 043,NULL,"438,590.00",Social,17/7/1994,Canberra,NULL,"92,068.00",23/5/2020,Married
P004,Home Loan,Variable Home Loan,24/7/2025 3:04,C044,???,"112,878.00","191,539.00",Call Center,27/1/1982,Gold Coast,Female,"82,794.00",1/3/2020,Widowed
P004,NULL,NULL,16/9/2025 16:42,C045,Customer 045,"34,149.00","43,117.00",SMS,20/5/2002,NULL,undefined,"81,296.00",23/4/2020,Single
P003,Credit Card,Rewards Plus,16/9/2025,C046,,"35,700.00","13,556.00",Social,18/6/1983,Newcastle,Male,"133,476.00",8/6/2020,Divorced
P001,Term Deposit,Saver Premium,3/2/2025,C046,unknown,"28,727.00","101,558.00",NULL,18/6/1983,Newcastle,,"133,476.00",8/6/2020,Divorced
P004,Home Loan,Variable Home Loan,9/3/2025,C046,Customer 046,"43,282.00","359,731.00",Social,18/6/1983,Newcastle,999999999,"133,476.00",8/6/2020,Divorced
NULL,Savings Account,Saver Basic,10/5/2025,C047,Customer 047,"72,087.00","474,513.00",NULL,9/8/1965,Launceston,Male,"63,816.00",21/9/2020,Single
P001,Term Deposit,Saver Premium,22/8/2025 4:16,,Customer 047,"125,857.00","109,221.00",App,9/8/1965,Launceston,Male,,21/9/2020,Single
P005,Premium Account,Membership Premium,15/5/2025 19:32,C047,Customer 047,"97,587.00","19,311.00",App,9/8/1965,Launceston,Male,"63,816.00",21/9/2020,Single
P002,Savings Account,Saver Basic,26/7/2025,,Customer 048,"85,937.00","469,454.00",Call Center,2/10/1985,Canberra,,"178,723.00",1/7/2020,Married
P002,Savings Account,Saver Basic,28/2/2025,C049,Customer 049,"94,313.00","457,678.00",Call Center,24/6/1984,Mackay,Other,"77,945.00",5/8/2020,Widowed
NULL,Credit Card,Rewards Plus,20/8/2025 17:33,C049,Customer 049,"27,422.00","132,137.00",Call Center,24/6/1984,Mackay,Other,"77,945.00",5/8/2020,
P004,Home Loan,Variable Home Loan,12/7/2025 11:36,C050,Customer 050,error,"400,891.00",-9999,25/9/1968,NULL,Other,"100,277.00",19/9/2020,Single
NULL,Credit Card,NULL,11/2/2025 14:14,C050,Customer 050,"12,659.00","155,390.00",App,25/9/1968,Sydney,,"100,277.00",19/9/2020,Single
P002,Savings Account,Saver Basic,22/9/2025,,Customer 050,"81,959.00","384,323.00",NULL,25/9/1968,error,Other,"100,277.00",19/9/2020,999999999
